,strain,effect_1,effect_2,effect_3,effect_4,effect_5
2818,swiss gold, focused, relaxed, happy, euphoric, uplifted 
2819,swiss, relaxed, happy, focused, energetic, creative 
2820,swiss tsunami, relaxed, happy, uplifted, energetic, talkative 
2821,thc bomb, relaxed, happy, euphoric, creative, uplifted 
2822,tjs cbd, happy, focused, uplifted, relaxed, creative 
2823,tahoe alien, happy, relaxed, euphoric, tingly, uplifted 
2824,tahoe frostbite, happy, energetic, giggly, aroused, euphoric 
2825,tahoe hydro champagne, uplifted, creative, euphoric, hungry, happy 
2826,tahoe hydro og, euphoric, relaxed, happy, tingly, hungry 
2827,tahoe purps, relaxed, sleepy, creative, happy, hungry 
2828,taliban poison, hungry, aroused, sleepy, giggly, happy 
2829,tangelo, happy, giggly, euphoric, focused, energetic 
2830,tangelo kush, relaxed, sleepy, giggly, uplifted, talkative 
2831,tahoe frostbite, happy, energetic, giggly, aroused, euphoric 
2832,tahoe hydro champagne, uplifted, creative, euphoric, hungry, happy 
2833,tahoe hydro og, euphoric, relaxed, happy, tingly, hungry 
2834,tahoe purps, relaxed, sleepy, creative, happy, hungry 
2835,taliban poison, hungry, aroused, sleepy, giggly, happy 
2836,tangelo, happy, giggly, euphoric, focused, energetic 
2837,tangelo kush, relaxed, sleepy, giggly, uplifted, talkative 
2838,tangerine, relaxed, happy, euphoric, uplifted, focused 
2839,tangerine dream, happy, relaxed, energetic, uplifted, euphoric 
2840,tangerine haze, happy, uplifted, euphoric, energetic, giggly 
2841,tangerine kush, relaxed, euphoric, happy, giggly, focused 
2842,tangerine man, creative, euphoric, energetic, happy, uplifted 
2843,tangerine power, relaxed, uplifted, happy, euphoric, focused 
2844,tangerine sunrise, happy, relaxed, euphoric, uplifted, creative 
2845,tangerine trainwreck haze, aroused, creative, energetic, happy, uplifted 
2846,tangie, uplifted, happy, energetic, euphoric, focused 
2847,tangie biscotti, relaxed, euphoric, uplifted, happy, focused 
2848,tangie cookies, uplifted, euphoric, happy, energetic, relaxed 
2849,tangie dream, creative, energetic, focused, relaxed, uplifted 
2850,tangie ghost train, energetic, focused, happy, uplifted, relaxed 
2851,tangie sunrise, relaxed, euphoric, uplifted, happy, talkative 
2852,tangier chilly, creative, talkative, euphoric, focused, giggly 
2853,tangilope, uplifted, happy, euphoric, energetic, creative 
2854,tango kush, focused, energetic, happy, relaxed, creative 
2855,tardis, uplifted, creative, euphoric, happy, talkative 
2856,tembo kush, happy, euphoric, energetic, tingly, relaxed 
2857,terminator og, relaxed, sleepy, uplifted, happy, euphoric 
2858,tesla, relaxed, uplifted, focused, hungry, happy 
2859,tesla tower, uplifted, tingly, energetic, happy, giggly 
2860,thai, happy, relaxed, creative, focused, uplifted 
2861,thai fantasy, aroused, creative, euphoric, giggly, happy 
2862,thai girl, uplifted, energetic, euphoric, relaxed, happy 
2863,thai haze, hungry, sleepy, happy, creative, energetic 
2864,thai lights, relaxed, euphoric, giggly, happy, uplifted 
2865,thai tanic, uplifted, happy, focused, euphoric, tingly 
2866,thaidal wave, euphoric, uplifted, creative, energetic, focused 
2867,the big dirty, hungry, relaxed, uplifted ,,
2868,the black, relaxed, happy, uplifted, euphoric, hungry 
2869,the blintz, uplifted, creative, energetic, focused, happy 
2870,the blood, happy, relaxed, uplifted, creative, aroused 
2871,the brotherhood, relaxed, talkative, happy, euphoric, aroused 
2872,the cbg blend, energetic, euphoric, happy, hungry, uplifted 
2873,the cough, uplifted, creative, aroused, euphoric, happy 
2874,the doctor, relaxed, sleepy, euphoric, uplifted, aroused 
2875,the flav, euphoric, happy, relaxed, uplifted, energetic 
2876,the forbidden candy, aroused, creative, euphoric, focused, relaxed 
2877,the fuzz, euphoric, giggly, happy, relaxed, uplifted 
2878,the gift, focused, uplifted, aroused, energetic, relaxed 
2879,the grunk, happy, euphoric, relaxed, uplifted, sleepy 
2880,the guice, creative, euphoric, focused, giggly, talkative 
2881,the doctor, relaxed, sleepy, euphoric, uplifted, aroused 
2882,the flav, euphoric, happy, relaxed, uplifted, energetic 
2883,the forbidden candy, aroused, creative, euphoric, focused, relaxed 
2884,the fuzz, euphoric, giggly, happy, relaxed, uplifted 
2885,the gift, focused, uplifted, aroused, energetic, relaxed 
2886,the grunk, happy, euphoric, relaxed, uplifted, sleepy 
2887,the guice, creative, euphoric, focused, giggly, talkative 
2888,hog, sleepy, relaxed, euphoric, happy, tingly 
2889,the lime, happy, creative, energetic, euphoric, hungry 
2890,the loops, relaxed, creative, happy, hungry, sleepy 
2891,the ox, happy, relaxed, euphoric, giggly, talkative 
2892,the one, uplifted, creative, relaxed, euphoric, energetic 
2893,the ooze, uplifted, euphoric, focused, happy, relaxed 
2894,the original lemonnade, energetic, focused, happy, relaxed, euphoric 
2895,the real mccoy, relaxed, tingly, uplifted, sleepy, creative 
2896,the sauce, euphoric, happy, uplifted, relaxed, giggly 
2897,the sheriff, relaxed, sleepy, uplifted ,,
2898,the sister, relaxed, uplifted, euphoric, happy, focused 
2899,the third dimension, uplifted, euphoric, happy, giggly, tingly 
2900,the truth, relaxed, happy, euphoric, focused, talkative 
2901,the vision, tingly, relaxed, euphoric, giggly, uplifted 
2902,the void, relaxed, creative, hungry, euphoric, happy 
2903,the white angel, relaxed, sleepy, aroused, euphoric, tingly 
2904,the wife, relaxed, happy, tingly, uplifted, focused 
2905,the wills, uplifted, creative, euphoric, giggly, relaxed 
2906,thelonious skunk, euphoric, aroused, relaxed, uplifted, happy 
2907,think different, happy, energetic, euphoric, focused, uplifted 
2908,thors hammer, creative, uplifted, euphoric, happy, talkative 
2909,three blue kings, giggly, relaxed, sleepy, creative, energetic 
2910,throwback kush, hungry, relaxed, happy, sleepy ,
2911,thunderbird rose, euphoric, happy, creative, tingly, talkative 
2912,thunderstruck, relaxed, focused, uplifted, euphoric, happy 
2913,tickle kush, happy, creative, euphoric, giggly, uplifted 
2914,tiger woods, giggly, hungry, relaxed, happy, euphoric 
2915,tigers milk, relaxed, euphoric, happy, sleepy, uplifted 
2916,tigermelon, happy, creative, relaxed ,,
2917,tillamook strawberry, uplifted, relaxed, euphoric, talkative, happy 
2918,timewreck, euphoric, happy, energetic, creative, relaxed 
2919,tina, relaxed, energetic, euphoric, focused, happy 
2920,tina danza, relaxed, happy, euphoric, uplifted, sleepy 
2921,titans haze, happy, energetic, euphoric, tingly, creative 
2922,tokyo og, happy, uplifted, energetic, talkative, giggly 
2923,tommys home grown, energetic, relaxed, creative, focused, happy 
2924,tora bora, relaxed, happy, uplifted, hungry, sleepy 
2925,toxic, relaxed, happy, focused, euphoric, energetic 
2926,toxic punch, happy, hungry, euphoric, energetic, uplifted 
2927,training day, relaxed, happy, sleepy, euphoric, tingly 
2928,trainwreck, happy, euphoric, uplifted, relaxed, creative 
2929,tranquil elephantizer remix, relaxed, sleepy, tingly, aroused, euphoric 
2930,transformer, creative, energetic, euphoric, relaxed, sleepy 
2931,trap star, relaxed, sleepy, focused, happy, creative 
2932,trash, happy, euphoric, energetic, relaxed, focused 
2933,toxic, relaxed, happy, focused, euphoric, energetic 
2934,toxic punch, happy, hungry, euphoric, energetic, uplifted 
2935,training day, relaxed, happy, sleepy, euphoric, tingly 
2936,trainwreck, happy, euphoric, uplifted, relaxed, creative 
2937,tranquil elephantizer remix, relaxed, sleepy, tingly, aroused, euphoric 
2938,transformer, creative, energetic, euphoric, relaxed, sleepy 
2939,trap star, relaxed, sleepy, focused, happy, creative 
2940,trash, happy, euphoric, energetic, relaxed, focused 
2941,travel joint, uplifted, happy, relaxed, focused, aroused 
2942,treasure island, happy, relaxed, focused, uplifted, energetic 
2943,tree of life, happy, creative, euphoric, giggly, focused 
2944,tres dawg, relaxed, sleepy, hungry, happy, uplifted 
2945,triangle kush, relaxed, happy, euphoric, sleepy, uplifted 
2946,trident, happy, relaxed, creative, euphoric, focused 
2947,trifecta, tingly, hungry, sleepy, happy, euphoric 
2948,trinity, uplifted, euphoric, happy, energetic, relaxed 
2949,triple cheese, relaxed, euphoric, happy, giggly, tingly 
2950,triple diesel, relaxed, euphoric, uplifted, happy, focused 
2951,trix, relaxed, happy, euphoric, uplifted, focused 
2952,trophy wife, hungry, aroused, euphoric, focused, happy 
2953,tropic thunder, happy, uplifted, creative, giggly, euphoric 
2954,tropical tang, happy, euphoric, uplifted, tingly, focused 
2955,tropicali, euphoric, happy, uplifted, talkative, energetic 
2956,tropicana cookies, uplifted, happy, euphoric, relaxed, creative 
2957,tropicana punch, relaxed, energetic, euphoric, focused, happy 
2958,true face, relaxed, sleepy, tingly, euphoric ,
2959,true og, relaxed, happy, euphoric, uplifted, sleepy 
2960,true x, focused, relaxed, sleepy, uplifted, energetic 
2961,trueberry, happy, euphoric, focused, uplifted, relaxed 
2962,truffle butter, aroused, happy, energetic, euphoric, relaxed 
2963,truffula tree, aroused, creative, energetic, euphoric, giggly 
2964,truth serum, relaxed, sleepy, focused, energetic, happy 
2965,tuna kush, relaxed, uplifted, aroused, sleepy, happy 
2966,tuna og, energetic, giggly, happy, tingly, aroused 
2967,turbo mind warp, happy, uplifted, euphoric, relaxed, tingly 
2968,tutankhamon, uplifted, energetic, focused, happy, relaxed 
2969,tutti frutti, happy, euphoric, uplifted, energetic, focused 
2970,twista, creative, euphoric, focused, relaxed, talkative 
2971,twisted citrus, uplifted, happy, relaxed, euphoric, energetic 
2972,two beards, relaxed ,,,,
2973,tyson, sleepy, relaxed, euphoric, hungry, happy 
2974,u2 kush, relaxed, happy, euphoric, uplifted, sleepy 
2975,uk cheese, relaxed, happy, uplifted, euphoric, hungry 
2976,uw, relaxed, happy, sleepy, euphoric, uplifted 
2977,ultimate trainwreck, aroused, euphoric, happy, giggly, tingly 
2978,ultra banana, relaxed, tingly, uplifted, giggly, sleepy 
2979,ultra sonja, uplifted, happy, relaxed, euphoric, creative 
2980,ultra sour, happy, energetic, creative, euphoric, uplifted 
2981,ultraviolet og, relaxed, creative, uplifted, hungry, euphoric 
2982,urkle train haze, relaxed, happy, creative, talkative, aroused 
2983,vcdc, relaxed, uplifted, happy, euphoric, tingly 
2984,az super sour og, happy, relaxed, hungry, creative, talkative 
2985,vader og, relaxed, sleepy, happy, euphoric, uplifted 
2986,ultra banana, relaxed, tingly, uplifted, giggly, sleepy 
2987,ultra sonja, uplifted, happy, relaxed, euphoric, creative 
2988,ultra sour, happy, energetic, creative, euphoric, uplifted 
2989,ultraviolet og, relaxed, creative, uplifted, hungry, euphoric 
2990,urkle train haze, relaxed, happy, creative, talkative, aroused 
2991,vcdc, relaxed, uplifted, happy, euphoric, tingly 
2992,az super sour og, happy, relaxed, hungry, creative, talkative 
2993,vader og, relaxed, sleepy, happy, euphoric, uplifted 
2994,valentine x, relaxed, focused, creative, euphoric, happy 
2995,valley ghash, relaxed, euphoric, uplifted, happy, hungry 
2996,valley girl, euphoric, relaxed, happy, energetic, hungry 
2997,vanilla frosting, euphoric, relaxed, happy, hungry, sleepy 
2998,vanilla gorilla, relaxed, creative, euphoric, sleepy, talkative 
2999,vanilla kush, relaxed, sleepy, happy, euphoric, hungry 
3000,vanilluna, relaxed, happy, sleepy, euphoric ,
3001,velvet bud, uplifted, energetic, creative, focused, talkative 
3002,velvet purps, relaxed, happy, euphoric, uplifted, sleepy 
3003,venice og, happy, uplifted, energetic, euphoric, focused 
3004,venom og, relaxed, happy, sleepy, tingly, euphoric 
3005,venus og, euphoric, relaxed, happy, creative, uplifted 
3006,verde electric, happy, uplifted, creative, energetic, euphoric 
3007,versace, relaxed, focused, happy, euphoric, uplifted 
3008,very berry haze, happy, focused, euphoric, energetic, relaxed 
3009,very cherry, creative, euphoric, focused, happy, hungry 
3010,vietnamese bubba, hungry, happy, aroused, energetic, giggly 
3011,violator kush, relaxed, sleepy, happy, euphoric, uplifted 
3012,violet delight, happy, relaxed, euphoric, uplifted, hungry 
3013,violeta, relaxed, happy, uplifted, energetic, euphoric 
3014,viper, energetic, uplifted, talkative, happy, focused 
3015,vixen, aroused, giggly, happy, talkative, tingly 
3016,voodoo, happy, euphoric, uplifted, energetic, creative 
3017,vortex, euphoric, happy, uplifted, energetic, focused 
3018,wmd, relaxed, happy, euphoric, tingly, sleepy 
3019,wsu, relaxed, euphoric, hungry, happy, sleepy 
3020,wtf, happy, relaxed, uplifted, euphoric, creative 
3021,wabanaki, uplifted, focused, happy, euphoric, energetic 
3022,waipi o hapa, energetic, uplifted, focused, happy, creative 
3023,wakanda og, euphoric, happy, relaxed, creative, energetic 
3024,waldo, creative, euphoric, hungry, tingly, giggly 
3025,walker kush, relaxed, sleepy, happy, uplifted, euphoric 
3026,wally og, relaxed, happy, sleepy, creative, focused 
3027,walrus kush, happy, giggly, creative, hungry, uplifted 
3028,walter white, relaxed, uplifted, happy, euphoric, energetic 
3029,wappa, happy, relaxed, uplifted, euphoric, giggly 
3030,warlock, relaxed, happy, uplifted, euphoric, aroused 
3031,washing machine, relaxed, euphoric, hungry, sleepy, happy 
3032,watermelon, relaxed, happy, sleepy, euphoric, uplifted 
3033,webster, energetic, aroused, euphoric, happy, uplifted 
3034,wedding cake, relaxed, happy, euphoric, uplifted, creative 
3035,wedding crasher, happy, euphoric, talkative, focused, relaxed 
3036,weebes world, creative, euphoric, focused, hungry, tingly 
3037,wellness og, happy, relaxed, euphoric, uplifted, creative 
3038,wembley, creative, energetic, giggly, happy, relaxed 
3039,west coast dawg, relaxed, happy, uplifted, creative, sleepy 
3040,west og, relaxed, happy, sleepy, creative, giggly 
3041,webster, energetic, aroused, euphoric, happy, uplifted 
3042,wedding cake, relaxed, happy, euphoric, uplifted, creative 
3043,wedding crasher, happy, euphoric, talkative, focused, relaxed 
3044,weebes world, creative, euphoric, focused, hungry, tingly 
3045,wellness og, happy, relaxed, euphoric, uplifted, creative 
3046,wembley, creative, energetic, giggly, happy, relaxed 
3047,west coast dawg, relaxed, happy, uplifted, creative, sleepy 
3048,west og, relaxed, happy, sleepy, creative, giggly 
3049,wet dream, happy, euphoric, uplifted, creative, energetic 
3050,wheres my bike, happy, euphoric, energetic, uplifted, creative 
3051,whitaker blues, relaxed, happy, sleepy, hungry, euphoric 
3052,white 99, uplifted, happy, euphoric, relaxed, creative 
3053,white bastard, relaxed, happy, tingly, uplifted, hungry 
3054,white berry, relaxed, happy, sleepy, creative, euphoric 
3055,white bubblegum, aroused, energetic, euphoric, creative, giggly 
3056,white buffalo, euphoric, happy, uplifted, energetic, relaxed 
3057,white caramel cookies, euphoric, relaxed, talkative, happy, focused 
3058,white castle, happy, hungry, euphoric, relaxed, sleepy 
3059,white cheese, relaxed, happy, euphoric, uplifted, focused 
3060,white cherry truffle, euphoric, uplifted, happy, relaxed, talkative 
3061,white choco, relaxed, creative, euphoric, hungry, sleepy 
3062,white chocolate, energetic, happy, talkative, euphoric, uplifted 
3063,white cookies, relaxed, sleepy, euphoric, uplifted, happy 
3064,white dawg, creative, uplifted, euphoric, relaxed, focused 
3065,white dawg fire og, happy, euphoric, giggly, hungry, relaxed 
3066,white diesel, relaxed, euphoric, happy, focused, aroused 
3067,white domina, relaxed, sleepy, happy, talkative, uplifted 
3068,white dragon, relaxed, happy, hungry, euphoric, tingly 
3069,white dream, uplifted, euphoric, relaxed, creative, happy 
3070,white durban, energetic, happy, uplifted, relaxed, euphoric 
3071,white elephant, relaxed, happy, euphoric, uplifted, sleepy 
3072,white empress, energetic, euphoric, happy, relaxed, uplifted 
3073,white fire 43, relaxed, sleepy, happy, euphoric, hungry 
