,strain,medical_1,medical_2,medical_3,medical_4,medical_5
1262,harry potter, stress, muscle spasms, pain, inflammation, cramps 
1263,hash plant, pain, stress, insomnia, depression, nausea 
1264,hashbar og, lack of appetite, stress, headaches, pain, insomnia 
1265,hashberry, stress, pain, insomnia, depression, lack of appetite 
1266,hashplant haze, pain, depression, stress, inflammation, nausea 
1267,hawaiian, stress, pain, depression, fatigue, lack of appetite 
1268,hawaiian cookies, stress, depression, pain, lack of appetite, muscle spasms 
1269,hawaiian delight, pain, stress, nausea, depression, fatigue 
1270,hawaiian diesel, stress, depression, lack of appetite, pain, fatigue 
1271,hashbar og, lack of appetite, stress, headaches, pain, insomnia 
1272,hashberry, stress, pain, insomnia, depression, lack of appetite 
1273,hashplant haze, pain, depression, stress, inflammation, nausea 
1274,hawaiian, stress, pain, depression, fatigue, lack of appetite 
1275,hawaiian cookies, stress, depression, pain, lack of appetite, muscle spasms 
1276,hawaiian delight, pain, stress, nausea, depression, fatigue 
1277,hawaiian diesel, stress, depression, lack of appetite, pain, fatigue 
1278,hawaiian dream, stress, pain, inflammation, muscle spasms, depression 
1279,hawaiian fire, stress, insomnia, pain, depression, headaches 
1280,hawaiian haze, nausea, fatigue, stress, depression, cramps 
1281,hawaiian mayan gold, depression, stress, headaches, fatigue, muscle spasms 
1282,hawaiian punch, depression, stress, fatigue, cramps, inflammation 
1283,hawaiian purple kush, stress, insomnia, lack of appetite, pain, depression 
1284,hawaiian sativa, stress, depression, insomnia, nausea, pain 
1285,hawaiian skunk, stress, depression, insomnia, pain, headaches 
1286,hawaiian snow, stress, depression, pain, fatigue, muscle spasms 
1287,hawaiian sunrise, stress, depression, pain, fatigue, headaches 
1288,hawaiian thunder fuck, stress, insomnia, depression, pain, nausea 
1289,hawaiian trinity, pain, depression, fatigue, stress ,
1290,hayleys haze, depression, stress, pain, muscle spasms, fatigue 
1291,haze, depression, stress, pain, lack of appetite, inflammation 
1292,haze berry, depression, stress, pain, nausea, spasticity 
1293,haze heaven, depression, lack of appetite, stress, fatigue, inflammation 
1294,haze mist, insomnia, nausea, stress ,,
1295,haze wreck, stress, depression, pain, lack of appetite, fatigue 
1296,hazmat og, depression, lack of appetite, stress ,,
1297,head cheese, stress, muscle spasms, pain, depression, headaches 
1298,head trip, stress, pain, headaches, depression, insomnia 
1299,headband, stress, depression, pain, headaches, lack of appetite 
1300,headbanger, depression, pain, stress, nausea, fatigue 
1301,heatwave, depression, stress ,,,
1302,heavenly og, pain, stress, depression, fatigue ,
1303,heavy duty fruity, stress, depression, insomnia, pain, nausea 
1304,heisenberg kush, stress, fatigue, depression, pain, eye pressure 
1305,hell raiser og, depression, stress, pain, fatigue, headaches 
1306,hells og, stress, pain, depression, inflammation, insomnia 
1307,hellfire og, stress, depression, insomnia, nausea, pain 
1308,hemlock, stress, pain, depression, headaches, fatigue 
1309,hempstar, stress, depression, nausea, fatigue, lack of appetite 
1310,hercules, depression, stress, insomnia, lack of appetite, pain 
1311,herojuana, insomnia, stress, pain, depression, lack of appetite 
1312,hibiscus sunrise, insomnia, depression, pain, stress, headaches 
1313,high noon irish cream, depression, headaches, insomnia, muscle spasms, nausea 
1314,high school sweetheart, stress, depression, pain, nausea, fatigue 
1315,higher power, depression, stress, lack of appetite, headaches, insomnia 
1316,highwayman, depression, stress, fatigue, inflammation, pain 
1317,himalayan blackberry, insomnia, stress, depression, headaches, pain 
1318,himalayan gold, lack of appetite, stress, pain, depression, insomnia 
1319,hindu kush, pain, stress, insomnia, depression, headaches 
1320,hindu skunk, stress, pain, insomnia, depression, headaches 
1321,high noon irish cream, depression, headaches, insomnia, muscle spasms, nausea 
1322,high school sweetheart, stress, depression, pain, nausea, fatigue 
1323,higher power, depression, stress, lack of appetite, headaches, insomnia 
1324,highwayman, depression, stress, fatigue, inflammation, pain 
1325,himalayan blackberry, insomnia, stress, depression, headaches, pain 
1326,himalayan gold, lack of appetite, stress, pain, depression, insomnia 
1327,hindu kush, pain, stress, insomnia, depression, headaches 
1328,hindu skunk, stress, pain, insomnia, depression, headaches 
1329,hippie chicken, depression, stress, nausea, fatigue, pain 
1330,hippie crippler, depression, fatigue, stress, pain, inflammation 
1331,hoarfrost, stress, depression, eye pressure, fatigue, nausea 
1332,hogs breath, stress, pain, insomnia, depression, lack of appetite 
1333,hollands hope, stress, insomnia, lack of appetite, pain, depression 
1334,hollyweed, depression, headaches, pain, stress, eye pressure 
1335,hollywood og, cramps, stress, insomnia, pain, depression 
1336,holy ghost, depression, stress, headaches, muscle spasms, pain 
1337,holy grail kush, stress, pain, depression, lack of appetite, headaches 
1338,honey bananas, stress, pain, headaches, muscle spasms, fatigue 
1339,honey boo boo, inflammation, stress, pain, insomnia, lack of appetite 
1340,honey lemon cheese, stress, insomnia, depression, fatigue, eye pressure 
1341,honey rock, inflammation, stress, depression, muscle spasms, fatigue 
1342,hong kong, muscle spasms, stress, depression, pain, fatigue 
1343,hoodwreck, fatigue, cramps, depression, eye pressure, headaches 
1344,horace, depression, fatigue ,,,
1345,huckleberries, depression, eye pressure, headaches, insomnia, lack of appetite 
1346,huckleberry, pain, depression, inflammation, stress, insomnia 
1347,huckleberry cough, cramps, depression, fatigue, headaches, inflammation 
1348,huckleberry diesel, pain, depression, inflammation, muscle spasms, stress 
1349,huckleberry hound, headaches, lack of appetite, pain, stress ,
1350,hulkamania, cramps, headaches, depression, nausea, insomnia 
1351,humboldt, stress, pain, depression, muscle spasms, headaches 
1352,humboldt dream, stress, depression, insomnia, pain, fatigue 
1353,humboldt headband, stress, depression, insomnia, lack of appetite, pain 
1354,humdinger og, depression, headaches, inflammation, pain, stress 
1355,hurkle, stress, pain, insomnia, inflammation, headaches 
1356,hurricane, depression, nausea, stress, pain, headaches 
1357,hustler kush, lack of appetite, stress, depression, fatigue, insomnia 
1358,i 95, stress, pain, depression, lack of appetite, fatigue 
1359,iced grapefruit, pain, depression, headaches, insomnia, cramps 
1360,ig kush, insomnia, lack of appetite, pain, stress, headaches 
1361,ice, eye pressure, stress, pain, depression, insomnia 
1362,ice cream, stress, depression, pain, insomnia, eye pressure 
1363,ice cream cake, stress, pain, depression, insomnia, headaches 
1364,ice princess, depression, fatigue, insomnia, pain, stress 
1365,ice queen, stress, depression, pain, nausea, lack of appetite 
1366,ice wreck, pain, depression, stress, fatigue, headaches 
1367,ig kush, insomnia, lack of appetite, pain, stress, headaches 
1368,ice, eye pressure, stress, pain, depression, insomnia 
1369,ice cream, stress, depression, pain, insomnia, eye pressure 
1370,ice cream cake, stress, pain, depression, insomnia, headaches 
1371,ice princess, depression, fatigue, insomnia, pain, stress 
1372,ice queen, stress, depression, pain, nausea, lack of appetite 
1373,ice wreck, pain, depression, stress, fatigue, headaches 
1374,iced widow, insomnia, pain, lack of appetite, fatigue, nausea 
1375,ill og, depression, inflammation, insomnia, lack of appetite, pain 
1376,illuminati og, insomnia, depression, pain, stress, headaches 
1377,in the pines, inflammation, cramps, pain, fatigue, stress 
1378,incredible bulk, stress, insomnia, pain, depression, lack of appetite 
1379,incredible hulk, fatigue, stress, depression, headaches, pain 
1380,industrial plant, stress, depression, insomnia, fatigue, headaches 
1381,ingrid, stress, insomnia, inflammation, pain, depression 
1382,intergalactic, depression, insomnia, lack of appetite, pain, stress 
1383,inzane in the membrane, depression, stress, fatigue, lack of appetite, eye pressure 
1384,irene kush, depression, stress, pain, fatigue, headaches 
1385,irish cream, eye pressure, stress, muscle spasms, depression, spasticity 
1386,iron triangle, pain, insomnia, depression, stress, muscle spasms 
1387,island haze, depression, fatigue, stress ,,
1388,island maui haze, stress, depression, pain, headaches, inflammation 
1389,island sweet skunk, depression, stress, pain, fatigue, headaches 
1390,js famous kush, spasticity, stress, cramps, depression, insomnia 
1391,j 27, stress, depression, fatigue, pain, nausea 
1392,j1, stress, fatigue, depression, pain, headaches 
1393,jr, stress, depression, insomnia, pain, lack of appetite 
1394,jt15, depression ,,,,
1395,jack 47, pain, depression, lack of appetite, seizures, inflammation 
1396,jack burton, fatigue, inflammation, insomnia, pain, stress 
1397,jack diesel, depression, stress, fatigue, pain, lack of appetite 
1398,jack flash, stress, pain, depression, muscle spasms, insomnia 
1399,jack frost, pain, stress, depression, nausea, insomnia 
1400,jack haze, depression, stress, fatigue, pain, headaches 
1401,jack herer, stress, depression, pain, fatigue, headaches 
1402,jack kush, depression, pain, lack of appetite, fatigue, stress 
1403,jack skellington, stress, depression, fatigue, nausea, headaches 
1404,jack smack, stress, lack of appetite, depression, fatigue, headaches 
1405,jack widow, stress, pain, nausea, depression, insomnia 
1406,jack wreck, eye pressure, pain, depression, stress, lack of appetite 
1407,jack the ripper, stress, depression, pain, fatigue, lack of appetite 
1408,jacks cleaner, pain, depression, inflammation, stress, fatigue 
1409,jacks dream, depression, fatigue, pain, stress, cramps 
1410,jackalope, depression, stress, fatigue, headaches, insomnia 
1411,jacked up, stress, depression, muscle spasms, lack of appetite, insomnia 
1412,jacky girl, depression, eye pressure, fatigue, inflammation, stress 
1413,jacky white, stress, depression, pain, lack of appetite, nausea 
1414,jacks dragon girl 7, headaches ,,,,
1415,jacks girl, depression, pain, stress ,,
1416,jah goo, stress, pain, eye pressure, depression, insomnia 
1417,jah kush, stress, headaches, fatigue, depression, pain 
1418,jackalope, depression, stress, fatigue, headaches, insomnia 
1419,jacked up, stress, depression, muscle spasms, lack of appetite, insomnia 
1420,jacky girl, depression, eye pressure, fatigue, inflammation, stress 
1421,jacky white, stress, depression, pain, lack of appetite, nausea 
1422,jacks dragon girl 7, headaches ,,,,
1423,jacks girl, depression, pain, stress ,,
1424,jah goo, stress, pain, eye pressure, depression, insomnia 
1425,jah kush, stress, headaches, fatigue, depression, pain 
1426,jahwaiian, depression, stress, eye pressure, fatigue, nausea 
1427,jamaican, depression, stress, lack of appetite, headaches, spasticity 
1428,jamaican dream, depression, fatigue, stress, pain, headaches 
1429,jamaican lion, stress, pain, depression, muscle spasms, fatigue 
1430,jamaican pearl, pain, fatigue, stress, depression, nausea 
1431,jamba juice, stress, cramps, fatigue, depression, lack of appetite 
1432,jane doe, pain, depression, muscle spasms, inflammation, stress 
1433,jasmin, stress, nausea, lack of appetite, depression, pain 
1434,jawa pie, stress, pain, cramps, depression, insomnia 
1435,jazz, stress, pain, depression, inflammation, fatigue 
1436,jean guy, stress, depression, pain, insomnia, fatigue 
1437,jedi kush, stress, depression, insomnia, lack of appetite, pain 
1438,jelly roll, insomnia, stress, nausea, cramps, pain 
1439,jenni, pain, depression, headaches, lack of appetite, stress 
1440,jenny kush, stress, depression, pain, nausea, lack of appetite 
1441,jericho haze, depression, lack of appetite, nausea ,,
1442,jesses girl, stress, depression, inflammation, nausea, pain 
1443,jesus, depression, insomnia, stress, pain, fatigue 
1444,jesus og, depression, stress, pain, insomnia, muscle spasms 
1445,jet fuel, stress, depression, pain, fatigue, headaches 
1446,jilly dawg, depression, stress ,,,
1447,jillybean, stress, depression, pain, fatigue, nausea 
1448,jimi hendrix, lack of appetite, stress, headaches, depression, nausea 
1449,jock horror, depression, stress, fatigue, lack of appetite, nausea 
1450,johnnys tonic, pain, inflammation, cramps, stress, fatigue 
